number of photons = 10000.000000
bin size = 0.01000 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
0.73500 	 8.807e-01 	 1.355e+00 	 4.795e+00 	 4.893e-01 
0.74500 	 8.628e-01 	 1.317e+00 	 4.701e+00 	 4.650e-01 
0.75500 	 8.370e-01 	 1.279e+00 	 4.638e+00 	 4.495e-01 
0.76500 	 8.076e-01 	 1.247e+00 	 4.513e+00 	 4.370e-01 
0.77500 	 7.819e-01 	 1.219e+00 	 4.467e+00 	 4.133e-01 
0.78500 	 7.501e-01 	 1.200e+00 	 4.380e+00 	 3.991e-01 
0.79500 	 7.392e-01 	 1.165e+00 	 4.367e+00 	 3.914e-01 
0.80500 	 7.163e-01 	 1.135e+00 	 4.262e+00 	 3.712e-01 
0.81500 	 6.989e-01 	 1.126e+00 	 4.202e+00 	 3.541e-01 
0.82500 	 6.717e-01 	 1.086e+00 	 4.142e+00 	 3.391e-01 
0.83500 	 6.548e-01 	 1.081e+00 	 4.079e+00 	 3.300e-01 
0.84500 	 6.265e-01 	 1.050e+00 	 3.977e+00 	 3.180e-01 
0.85500 	 6.162e-01 	 1.020e+00 	 3.927e+00 	 3.095e-01 
0.86500 	 6.025e-01 	 9.971e-01 	 3.894e+00 	 2.965e-01 
0.87500 	 5.721e-01 	 9.797e-01 	 3.768e+00 	 2.847e-01 
0.88500 	 5.673e-01 	 9.562e-01 	 3.748e+00 	 2.757e-01 
0.89500 	 5.480e-01 	 9.423e-01 	 3.720e+00 	 2.671e-01 
0.90500 	 5.368e-01 	 9.243e-01 	 3.607e+00 	 2.576e-01 
0.91500 	 5.155e-01 	 9.023e-01 	 3.587e+00 	 2.442e-01 
0.92500 	 4.982e-01 	 8.789e-01 	 3.527e+00 	 2.377e-01 
0.93500 	 4.869e-01 	 8.623e-01 	 3.462e+00 	 2.287e-01 
0.94500 	 4.747e-01 	 8.398e-01 	 3.426e+00 	 2.230e-01 
0.95500 	 4.633e-01 	 8.265e-01 	 3.362e+00 	 2.127e-01 
0.96500 	 4.531e-01 	 8.033e-01 	 3.285e+00 	 2.077e-01 
0.97500 	 4.405e-01 	 7.967e-01 	 3.221e+00 	 2.017e-01 
0.98500 	 4.281e-01 	 7.755e-01 	 3.171e+00 	 1.939e-01 
0.99500 	 4.175e-01 	 7.621e-01 	 3.132e+00 	 1.871e-01 
1.00500 	 4.052e-01 	 7.538e-01 	 3.131e+00 	 1.830e-01 
1.01500 	 3.952e-01 	 7.338e-01 	 3.088e+00 	 1.763e-01 
1.02500 	 3.844e-01 	 7.239e-01 	 2.985e+00 	 1.696e-01 
1.03500 	 3.751e-01 	 7.003e-01 	 2.927e+00 	 1.630e-01 
1.04500 	 3.661e-01 	 6.850e-01 	 2.917e+00 	 1.576e-01 
1.05500 	 3.551e-01 	 6.744e-01 	 2.854e+00 	 1.520e-01 
1.06500 	 3.480e-01 	 6.556e-01 	 2.822e+00 	 1.491e-01 
1.07500 	 3.383e-01 	 6.497e-01 	 2.784e+00 	 1.425e-01 
1.08500 	 3.326e-01 	 6.349e-01 	 2.711e+00 	 1.394e-01 
1.09500 	 3.236e-01 	 6.157e-01 	 2.702e+00 	 1.339e-01 
1.10500 	 3.134e-01 	 6.038e-01 	 2.631e+00 	 1.298e-01 
1.11500 	 3.066e-01 	 5.905e-01 	 2.574e+00 	 1.226e-01 
1.12500 	 2.991e-01 	 5.791e-01 	 2.545e+00 	 1.214e-01 
1.13500 	 2.927e-01 	 5.700e-01 	 2.505e+00 	 1.165e-01 
1.14500 	 2.850e-01 	 5.613e-01 	 2.446e+00 	 1.128e-01 
1.15500 	 2.783e-01 	 5.543e-01 	 2.408e+00 	 1.082e-01 
1.16500 	 2.727e-01 	 5.408e-01 	 2.373e+00 	 1.047e-01 
1.17500 	 2.628e-01 	 5.242e-01 	 2.321e+00 	 1.018e-01 
1.18500 	 2.543e-01 	 5.221e-01 	 2.300e+00 	 9.834e-02 
1.19500 	 2.476e-01 	 5.071e-01 	 2.272e+00 	 9.545e-02 
1.20500 	 2.437e-01 	 4.942e-01 	 2.242e+00 	 9.283e-02 
1.21500 	 2.370e-01 	 4.855e-01 	 2.182e+00 	 9.012e-02 
1.22500 	 2.306e-01 	 4.733e-01 	 2.132e+00 	 8.616e-02 
1.23500 	 2.254e-01 	 4.643e-01 	 2.121e+00 	 8.398e-02 
1.24500 	 2.202e-01 	 4.505e-01 	 2.083e+00 	 8.204e-02 
1.25500 	 2.167e-01 	 4.418e-01 	 2.036e+00 	 7.879e-02 
1.26500 	 2.072e-01 	 4.299e-01 	 2.010e+00 	 7.658e-02 
1.27500 	 2.031e-01 	 4.226e-01 	 1.989e+00 	 7.437e-02 
1.28500 	 1.988e-01 	 4.149e-01 	 1.965e+00 	 7.294e-02 
1.29500 	 1.946e-01 	 4.048e-01 	 1.918e+00 	 7.097e-02 
1.30500 	 1.906e-01 	 4.021e-01 	 1.880e+00 	 6.850e-02 
1.31500 	 1.846e-01 	 3.939e-01 	 1.874e+00 	 6.595e-02 
1.32500 	 1.789e-01 	 3.861e-01 	 1.843e+00 	 6.409e-02 
1.33500 	 1.743e-01 	 3.798e-01 	 1.796e+00 	 6.243e-02 
1.34500 	 1.707e-01 	 3.756e-01 	 1.761e+00 	 6.087e-02 
1.35500 	 1.660e-01 	 3.645e-01 	 1.748e+00 	 5.926e-02 
1.36500 	 1.613e-01 	 3.541e-01 	 1.719e+00 	 5.627e-02 
1.37500 	 1.587e-01 	 3.477e-01 	 1.719e+00 	 5.552e-02 
1.38500 	 1.566e-01 	 3.418e-01 	 1.687e+00 	 5.435e-02 
1.39500 	 1.522e-01 	 3.400e-01 	 1.646e+00 	 5.275e-02 
1.40500 	 1.491e-01 	 3.317e-01 	 1.621e+00 	 5.081e-02 
1.41500 	 1.450e-01 	 3.269e-01 	 1.589e+00 	 5.003e-02 
1.42500 	 1.414e-01 	 3.194e-01 	 1.574e+00 	 4.796e-02 
1.43500 	 1.382e-01 	 3.095e-01 	 1.528e+00 	 4.585e-02 
1.44500 	 1.347e-01 	 3.042e-01 	 1.488e+00 	 4.451e-02 
1.45500 	 1.327e-01 	 2.998e-01 	 1.469e+00 	 4.297e-02 
1.46500 	 1.303e-01 	 2.939e-01 	 1.440e+00 	 4.255e-02 
1.47500 	 1.268e-01 	 2.857e-01 	 1.447e+00 	 4.135e-02 
1.48500 	 1.239e-01 	 2.843e-01 	 1.394e+00 	 4.033e-02 
1.49500 	 1.207e-01 	 2.763e-01 	 1.369e+00 	 3.916e-02 
1.50500 	 1.188e-01 	 2.708e-01 	 1.340e+00 	 3.822e-02 
1.51500 	 1.170e-01 	 2.641e-01 	 1.308e+00 	 3.703e-02 
1.52500 	 1.150e-01 	 2.627e-01 	 1.292e+00 	 3.581e-02 
1.53500 	 1.132e-01 	 2.579e-01 	 1.268e+00 	 3.434e-02 
1.54500 	 1.090e-01 	 2.545e-01 	 1.253e+00 	 3.298e-02 
1.55500 	 1.062e-01 	 2.466e-01 	 1.220e+00 	 3.194e-02 
1.56500 	 1.040e-01 	 2.429e-01 	 1.217e+00 	 3.091e-02 
1.57500 	 1.013e-01 	 2.357e-01 	 1.201e+00 	 3.066e-02 
1.58500 	 9.895e-02 	 2.325e-01 	 1.187e+00 	 2.989e-02 
1.59500 	 9.709e-02 	 2.267e-01 	 1.168e+00 	 2.868e-02 
1.60500 	 9.542e-02 	 2.211e-01 	 1.135e+00 	 2.756e-02 
1.61500 	 9.394e-02 	 2.210e-01 	 1.113e+00 	 2.732e-02 
1.62500 	 9.102e-02 	 2.155e-01 	 1.089e+00 	 2.660e-02 
1.63500 	 8.938e-02 	 2.137e-01 	 1.067e+00 	 2.555e-02 
1.64500 	 8.683e-02 	 2.103e-01 	 1.043e+00 	 2.514e-02 
1.65500 	 8.536e-02 	 2.037e-01 	 1.052e+00 	 2.458e-02 
1.66500 	 8.371e-02 	 1.982e-01 	 1.016e+00 	 2.329e-02 
1.67500 	 8.117e-02 	 1.962e-01 	 1.005e+00 	 2.295e-02 
1.68500 	 7.827e-02 	 1.920e-01 	 9.891e-01 	 2.217e-02 
1.69500 	 7.749e-02 	 1.879e-01 	 9.949e-01 	 2.147e-02 
1.70500 	 7.507e-02 	 1.835e-01 	 9.923e-01 	 2.123e-02 
1.71500 	 7.355e-02 	 1.809e-01 	 9.436e-01 	 2.062e-02 
1.72500 	 7.183e-02 	 1.748e-01 	 9.333e-01 	 2.010e-02 
1.73500 	 7.006e-02 	 1.707e-01 	 9.040e-01 	 1.938e-02 
1.74500 	 6.938e-02 	 1.698e-01 	 9.030e-01 	 1.888e-02 
1.75500 	 6.710e-02 	 1.642e-01 	 8.881e-01 	 1.815e-02 
1.76500 	 6.620e-02 	 1.628e-01 	 8.874e-01 	 1.759e-02 
1.77500 	 6.441e-02 	 1.606e-01 	 8.778e-01 	 1.720e-02 
1.78500 	 6.264e-02 	 1.559e-01 	 8.646e-01 	 1.647e-02 
1.79500 	 6.140e-02 	 1.556e-01 	 8.508e-01 	 1.640e-02 
1.80500 	 5.954e-02 	 1.513e-01 	 8.158e-01 	 1.564e-02 
1.81500 	 5.828e-02 	 1.497e-01 	 8.033e-01 	 1.524e-02 
1.82500 	 5.737e-02 	 1.454e-01 	 7.971e-01 	 1.490e-02 
1.83500 	 5.597e-02 	 1.407e-01 	 7.852e-01 	 1.469e-02 
1.84500 	 5.461e-02 	 1.415e-01 	 7.634e-01 	 1.425e-02 
1.85500 	 5.340e-02 	 1.364e-01 	 7.464e-01 	 1.407e-02 
1.86500 	 5.316e-02 	 1.367e-01 	 7.408e-01 	 1.366e-02 
1.87500 	 5.246e-02 	 1.332e-01 	 7.224e-01 	 1.331e-02 
1.88500 	 5.083e-02 	 1.289e-01 	 7.171e-01 	 1.304e-02 
1.89500 	 4.964e-02 	 1.269e-01 	 7.141e-01 	 1.277e-02 
1.90500 	 4.878e-02 	 1.242e-01 	 6.947e-01 	 1.217e-02 
1.91500 	 4.766e-02 	 1.228e-01 	 6.859e-01 	 1.173e-02 
1.92500 	 4.626e-02 	 1.217e-01 	 6.652e-01 	 1.146e-02 
1.93500 	 4.535e-02 	 1.187e-01 	 6.487e-01 	 1.130e-02 
1.94500 	 4.378e-02 	 1.144e-01 	 6.374e-01 	 1.079e-02 
1.95500 	 4.314e-02 	 1.140e-01 	 6.318e-01 	 1.016e-02 
1.96500 	 4.297e-02 	 1.116e-01 	 6.257e-01 	 1.006e-02 
1.97500 	 4.170e-02 	 1.093e-01 	 5.963e-01 	 9.635e-03 
1.98500 	 4.094e-02 	 1.074e-01 	 5.948e-01 	 9.581e-03 
1.99500 	 3.972e-02 	 1.060e-01 	 5.747e-01 	 9.213e-03 
2.00500 	 3.886e-02 	 1.039e-01 	 5.652e-01 	 8.912e-03 
2.01500 	 3.802e-02 	 1.029e-01 	 5.682e-01 	 8.810e-03 
2.02500 	 3.680e-02 	 9.953e-02 	 5.444e-01 	 8.684e-03 
2.03500 	 3.588e-02 	 9.732e-02 	 5.366e-01 	 8.400e-03 
2.04500 	 3.506e-02 	 9.789e-02 	 5.271e-01 	 8.201e-03 
2.05500 	 3.469e-02 	 9.409e-02 	 5.136e-01 	 7.984e-03 
2.06500 	 3.347e-02 	 9.164e-02 	 5.206e-01 	 7.652e-03 
2.07500 	 3.324e-02 	 8.957e-02 	 5.108e-01 	 7.441e-03 
2.08500 	 3.187e-02 	 8.772e-02 	 4.981e-01 	 7.312e-03 
2.09500 	 3.196e-02 	 8.619e-02 	 5.022e-01 	 7.048e-03 
2.10500 	 3.108e-02 	 8.411e-02 	 4.794e-01 	 7.037e-03 
2.11500 	 3.017e-02 	 8.233e-02 	 4.724e-01 	 6.711e-03 
2.12500 	 3.001e-02 	 8.285e-02 	 4.644e-01 	 6.606e-03 
2.13500 	 2.912e-02 	 7.979e-02 	 4.589e-01 	 6.371e-03 
2.14500 	 2.875e-02 	 8.031e-02 	 4.482e-01 	 6.457e-03 
2.15500 	 2.811e-02 	 7.819e-02 	 4.461e-01 	 6.301e-03 
2.16500 	 2.757e-02 	 7.622e-02 	 4.446e-01 	 6.139e-03 
2.17500 	 2.729e-02 	 7.446e-02 	 4.326e-01 	 5.956e-03 
2.18500 	 2.637e-02 	 7.259e-02 	 4.254e-01 	 5.693e-03 
2.19500 	 2.568e-02 	 7.052e-02 	 4.183e-01 	 5.720e-03 
2.20500 	 2.524e-02 	 6.955e-02 	 4.097e-01 	 5.498e-03 
2.21500 	 2.490e-02 	 6.791e-02 	 3.953e-01 	 5.387e-03 
2.22500 	 2.436e-02 	 6.758e-02 	 3.988e-01 	 5.150e-03 
2.23500 	 2.352e-02 	 6.617e-02 	 3.836e-01 	 4.990e-03 
2.24500 	 2.321e-02 	 6.389e-02 	 3.774e-01 	 4.884e-03 
2.25500 	 2.250e-02 	 6.366e-02 	 3.840e-01 	 4.786e-03 
2.26500 	 2.223e-02 	 6.272e-02 	 3.725e-01 	 4.612e-03 
2.27500 	 2.177e-02 	 6.097e-02 	 3.686e-01 	 4.541e-03 
2.28500 	 2.129e-02 	 6.079e-02 	 3.624e-01 	 4.411e-03 
2.29500 	 2.112e-02 	 5.950e-02 	 3.498e-01 	 4.270e-03 
2.30500 	 2.056e-02 	 5.682e-02 	 3.412e-01 	 4.238e-03 
2.31500 	 1.969e-02 	 5.608e-02 	 3.337e-01 	 3.968e-03 
2.32500 	 1.941e-02 	 5.447e-02 	 3.236e-01 	 3.862e-03 
2.33500 	 1.903e-02 	 5.368e-02 	 3.102e-01 	 3.861e-03 
2.34500 	 1.845e-02 	 5.383e-02 	 3.068e-01 	 3.733e-03 
2.35500 	 1.807e-02 	 5.316e-02 	 3.057e-01 	 3.603e-03 
2.36500 	 1.778e-02 	 5.129e-02 	 2.993e-01 	 3.577e-03 
2.37500 	 1.731e-02 	 5.158e-02 	 2.986e-01 	 3.547e-03 
2.38500 	 1.715e-02 	 5.083e-02 	 2.930e-01 	 3.369e-03 
2.39500 	 1.696e-02 	 4.927e-02 	 2.833e-01 	 3.372e-03 
2.40500 	 1.635e-02 	 4.785e-02 	 2.899e-01 	 3.247e-03 
2.41500 	 1.596e-02 	 4.751e-02 	 2.779e-01 	 3.078e-03 
2.42500 	 1.572e-02 	 4.564e-02 	 2.772e-01 	 3.054e-03 
2.43500 	 1.527e-02 	 4.510e-02 	 2.690e-01 	 2.926e-03 
2.44500 	 1.505e-02 	 4.416e-02 	 2.704e-01 	 2.835e-03 
2.45500 	 1.471e-02 	 4.289e-02 	 2.602e-01 	 2.794e-03 
2.46500 	 1.432e-02 	 4.260e-02 	 2.588e-01 	 2.735e-03 
2.47500 	 1.423e-02 	 4.152e-02 	 2.496e-01 	 2.692e-03 
2.48500 	 1.379e-02 	 4.042e-02 	 2.529e-01 	 2.606e-03 
2.49500 	 1.335e-02 	 3.978e-02 	 2.419e-01 	 2.502e-03 
2.50500 	 1.334e-02 	 3.908e-02 	 2.424e-01 	 2.446e-03 
2.51500 	 1.270e-02 	 3.814e-02 	 2.393e-01 	 2.402e-03 
2.52500 	 1.258e-02 	 3.775e-02 	 2.383e-01 	 2.327e-03 
2.53500 	 1.236e-02 	 3.648e-02 	 2.326e-01 	 2.242e-03 
2.54500 	 1.206e-02 	 3.653e-02 	 2.245e-01 	 2.192e-03 
2.55500 	 1.196e-02 	 3.570e-02 	 2.267e-01 	 2.180e-03 
2.56500 	 1.181e-02 	 3.522e-02 	 2.253e-01 	 2.156e-03 
2.57500 	 1.143e-02 	 3.505e-02 	 2.220e-01 	 2.023e-03 
2.58500 	 1.096e-02 	 3.426e-02 	 2.171e-01 	 2.050e-03 
2.59500 	 1.100e-02 	 3.333e-02 	 2.164e-01 	 2.017e-03 
2.60500 	 1.094e-02 	 3.247e-02 	 2.069e-01 	 1.945e-03 
2.61500 	 1.054e-02 	 3.138e-02 	 2.062e-01 	 1.903e-03 
2.62500 	 1.038e-02 	 3.064e-02 	 2.012e-01 	 1.905e-03 
2.63500 	 1.009e-02 	 3.052e-02 	 2.014e-01 	 1.900e-03 
2.64500 	 9.724e-03 	 2.998e-02 	 1.997e-01 	 1.839e-03 
2.65500 	 9.701e-03 	 2.961e-02 	 1.973e-01 	 1.786e-03 
