number of photons = 10000.000000
bin size = 0.05000 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
3.67500 	 8.228e-03 	 5.098e-02 	 7.165e-01 	 3.261e-03 
3.72500 	 7.716e-03 	 4.975e-02 	 6.936e-01 	 2.940e-03 
3.77500 	 7.600e-03 	 4.812e-02 	 6.904e-01 	 2.895e-03 
3.82500 	 7.267e-03 	 4.579e-02 	 6.469e-01 	 2.732e-03 
3.87500 	 6.924e-03 	 4.483e-02 	 6.279e-01 	 2.525e-03 
3.92500 	 6.796e-03 	 4.475e-02 	 6.326e-01 	 2.402e-03 
3.97500 	 6.513e-03 	 4.317e-02 	 6.187e-01 	 2.319e-03 
4.02500 	 6.312e-03 	 4.195e-02 	 5.945e-01 	 2.228e-03 
4.07500 	 6.043e-03 	 3.993e-02 	 5.628e-01 	 2.097e-03 
4.12500 	 5.747e-03 	 3.771e-02 	 5.621e-01 	 1.961e-03 
4.17500 	 5.524e-03 	 3.627e-02 	 5.439e-01 	 1.893e-03 
4.22500 	 5.311e-03 	 3.473e-02 	 5.333e-01 	 1.855e-03 
4.27500 	 5.121e-03 	 3.371e-02 	 5.068e-01 	 1.727e-03 
4.32500 	 5.019e-03 	 3.364e-02 	 4.926e-01 	 1.591e-03 
4.37500 	 4.802e-03 	 3.220e-02 	 4.970e-01 	 1.535e-03 
4.42500 	 4.597e-03 	 3.120e-02 	 4.758e-01 	 1.463e-03 
4.47500 	 4.393e-03 	 3.039e-02 	 4.526e-01 	 1.409e-03 
4.52500 	 4.243e-03 	 2.906e-02 	 4.467e-01 	 1.340e-03 
4.57500 	 4.061e-03 	 2.851e-02 	 4.239e-01 	 1.268e-03 
4.62500 	 3.993e-03 	 2.705e-02 	 4.029e-01 	 1.218e-03 
4.67500 	 3.785e-03 	 2.698e-02 	 3.927e-01 	 1.182e-03 
4.72500 	 3.662e-03 	 2.627e-02 	 3.945e-01 	 1.106e-03 
4.77500 	 3.521e-03 	 2.485e-02 	 3.913e-01 	 1.041e-03 
4.82500 	 3.384e-03 	 2.439e-02 	 3.551e-01 	 9.960e-04 
4.87500 	 3.242e-03 	 2.351e-02 	 3.581e-01 	 9.352e-04 
4.92500 	 3.150e-03 	 2.230e-02 	 3.524e-01 	 9.375e-04 
4.97500 	 3.080e-03 	 2.202e-02 	 3.409e-01 	 8.775e-04 
5.02500 	 1.479e-01 	 9.337e-01 	 1.241e+01 	 3.191e-02 
