number of photons = 10000.000000
bin size = 0.00400 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2] 	 Fobl [1/cm2]
0.29400 	 6.088e-01 	 2.254e-01 	 1.724e-01 	 1.246e-01 
0.29800 	 5.669e-01 	 2.113e-01 	 1.619e-01 	 1.175e-01 
0.30200 	 5.335e-01 	 2.034e-01 	 1.578e-01 	 1.133e-01 
0.30600 	 4.911e-01 	 1.899e-01 	 1.477e-01 	 1.053e-01 
0.31000 	 4.657e-01 	 1.840e-01 	 1.449e-01 	 9.860e-02 
0.31400 	 4.344e-01 	 1.734e-01 	 1.361e-01 	 9.290e-02 
0.31800 	 4.214e-01 	 1.651e-01 	 1.303e-01 	 8.309e-02 
0.32200 	 3.995e-01 	 1.553e-01 	 1.227e-01 	 7.692e-02 
0.32600 	 3.716e-01 	 1.461e-01 	 1.188e-01 	 6.989e-02 
0.33000 	 3.482e-01 	 1.361e-01 	 1.125e-01 	 6.558e-02 
0.33400 	 3.232e-01 	 1.302e-01 	 1.070e-01 	 6.210e-02 
0.33800 	 3.053e-01 	 1.206e-01 	 1.011e-01 	 5.822e-02 
0.34200 	 2.862e-01 	 1.136e-01 	 9.553e-02 	 5.521e-02 
0.34600 	 2.690e-01 	 1.062e-01 	 9.096e-02 	 4.895e-02 
0.35000 	 2.518e-01 	 9.904e-02 	 8.568e-02 	 4.536e-02 
0.35400 	 2.344e-01 	 9.471e-02 	 8.296e-02 	 4.163e-02 
0.35800 	 2.252e-01 	 8.828e-02 	 7.964e-02 	 3.771e-02 
0.36200 	 2.054e-01 	 8.387e-02 	 7.333e-02 	 3.436e-02 
0.36600 	 1.919e-01 	 8.099e-02 	 7.051e-02 	 3.286e-02 
0.37000 	 1.804e-01 	 7.545e-02 	 6.606e-02 	 3.092e-02 
0.37400 	 1.719e-01 	 7.128e-02 	 6.382e-02 	 2.920e-02 
0.37800 	 1.615e-01 	 6.729e-02 	 6.061e-02 	 2.731e-02 
0.38200 	 1.508e-01 	 6.356e-02 	 5.796e-02 	 2.532e-02 
0.38600 	 1.427e-01 	 6.143e-02 	 5.554e-02 	 2.396e-02 
0.39000 	 1.320e-01 	 5.626e-02 	 5.258e-02 	 2.209e-02 
0.39400 	 1.292e-01 	 5.421e-02 	 5.038e-02 	 2.090e-02 
0.39800 	 1.197e-01 	 5.047e-02 	 4.937e-02 	 2.014e-02 
0.40200 	 1.103e-01 	 4.827e-02 	 4.743e-02 	 1.861e-02 
0.40600 	 1.041e-01 	 4.541e-02 	 4.320e-02 	 1.754e-02 
0.41000 	 9.837e-02 	 4.313e-02 	 4.211e-02 	 1.646e-02 
0.41400 	 9.183e-02 	 4.180e-02 	 4.196e-02 	 1.589e-02 
0.41800 	 8.658e-02 	 3.831e-02 	 3.875e-02 	 1.477e-02 
0.42200 	 8.180e-02 	 3.656e-02 	 3.671e-02 	 1.341e-02 
0.42600 	 7.718e-02 	 3.536e-02 	 3.733e-02 	 1.179e-02 
0.43000 	 7.397e-02 	 3.394e-02 	 3.548e-02 	 1.160e-02 
0.43400 	 6.968e-02 	 3.203e-02 	 3.388e-02 	 1.031e-02 
0.43800 	 6.646e-02 	 2.968e-02 	 3.145e-02 	 9.923e-03 
0.44200 	 6.244e-02 	 2.901e-02 	 2.950e-02 	 9.614e-03 
0.44600 	 5.932e-02 	 2.782e-02 	 2.720e-02 	 8.707e-03 
0.45000 	 5.555e-02 	 2.513e-02 	 2.575e-02 	 7.964e-03 
0.45400 	 5.206e-02 	 2.376e-02 	 2.376e-02 	 7.107e-03 
0.45800 	 4.865e-02 	 2.204e-02 	 2.246e-02 	 6.724e-03 
0.46200 	 4.625e-02 	 2.038e-02 	 2.093e-02 	 5.909e-03 
0.46600 	 4.365e-02 	 2.017e-02 	 1.953e-02 	 5.574e-03 
0.47000 	 4.059e-02 	 1.851e-02 	 1.813e-02 	 4.964e-03 
0.47400 	 3.891e-02 	 1.803e-02 	 1.659e-02 	 4.525e-03 
0.47800 	 3.644e-02 	 1.745e-02 	 1.665e-02 	 4.183e-03 
0.48200 	 3.372e-02 	 1.616e-02 	 1.569e-02 	 4.109e-03 
0.48600 	 3.182e-02 	 1.592e-02 	 1.431e-02 	 3.702e-03 
0.49000 	 3.106e-02 	 1.453e-02 	 1.306e-02 	 3.300e-03 
0.49400 	 2.878e-02 	 1.416e-02 	 1.231e-02 	 3.139e-03 
0.49800 	 2.705e-02 	 1.304e-02 	 1.192e-02 	 2.736e-03 
0.50200 	 2.556e-02 	 1.195e-02 	 1.128e-02 	 2.765e-03 
0.50600 	 2.418e-02 	 1.136e-02 	 1.048e-02 	 2.481e-03 
0.51000 	 2.288e-02 	 1.072e-02 	 1.012e-02 	 2.268e-03 
0.51400 	 2.185e-02 	 1.020e-02 	 9.723e-03 	 2.170e-03 
0.51800 	 1.994e-02 	 9.945e-03 	 9.052e-03 	 1.916e-03 
0.52200 	 1.956e-02 	 9.344e-03 	 8.554e-03 	 1.802e-03 
0.52600 	 1.789e-02 	 8.731e-03 	 8.844e-03 	 1.745e-03 
0.53000 	 1.681e-02 	 8.479e-03 	 8.423e-03 	 1.683e-03 
0.53400 	 1.650e-02 	 7.695e-03 	 7.535e-03 	 1.596e-03 
0.53800 	 1.498e-02 	 7.695e-03 	 6.728e-03 	 1.449e-03 
0.54200 	 1.386e-02 	 7.406e-03 	 7.046e-03 	 1.380e-03 
0.54600 	 1.365e-02 	 6.851e-03 	 7.238e-03 	 1.323e-03 
0.55000 	 1.270e-02 	 6.497e-03 	 6.125e-03 	 1.216e-03 
0.55400 	 1.179e-02 	 6.181e-03 	 5.951e-03 	 1.157e-03 
0.55800 	 1.158e-02 	 5.796e-03 	 5.448e-03 	 1.107e-03 
0.56200 	 1.036e-02 	 5.452e-03 	 5.219e-03 	 1.086e-03 
0.56600 	 9.978e-03 	 5.274e-03 	 5.024e-03 	 9.809e-04 
0.57000 	 9.487e-03 	 4.857e-03 	 4.865e-03 	 9.262e-04 
0.57400 	 8.641e-03 	 4.510e-03 	 4.680e-03 	 8.864e-04 
0.57800 	 8.346e-03 	 4.365e-03 	 4.654e-03 	 9.097e-04 
0.58200 	 7.755e-03 	 4.142e-03 	 4.424e-03 	 7.333e-04 
0.58600 	 7.105e-03 	 3.814e-03 	 4.366e-03 	 6.514e-04 
0.59000 	 6.876e-03 	 3.460e-03 	 4.116e-03 	 7.145e-04 
0.59400 	 6.217e-03 	 3.404e-03 	 4.403e-03 	 6.736e-04 
0.59800 	 6.048e-03 	 3.414e-03 	 3.526e-03 	 6.258e-04 
0.60200 	 5.713e-03 	 3.140e-03 	 4.112e-03 	 5.808e-04 
0.60600 	 5.262e-03 	 2.968e-03 	 3.735e-03 	 6.369e-04 
